=== Logger: VulkanApp ===
[11:59:33.276] [VulkanApp] [INFO] Vulkan Application Starting

  === Logger: Renderer ===
  [11:59:39.467] [Renderer] [INFO] FPS: 2197.80 | Avg: 2275.04 | Min: 70.10 | Max: 6410.26 | Frames: 10800
  [11:59:39.500] [Renderer] [INFO] FPS: 2688.17 | Avg: 2272.05 | Min: 70.10 | Max: 6410.26 | Frames: 10860
  [11:59:39.533] [Renderer] [INFO] FPS: 1336.90 | Avg: 2269.00 | Min: 70.10 | Max: 6410.26 | Frames: 10920
  [11:59:39.564] [Renderer] [INFO] FPS: 774.59 | Avg: 2266.90 | Min: 70.10 | Max: 6410.26 | Frames: 10980
  [11:59:39.591] [Renderer] [INFO] FPS: 401.93 | Avg: 2266.53 | Min: 70.10 | Max: 6410.26 | Frames: 11040
  [11:59:39.622] [Renderer] [INFO] FPS: 1811.59 | Avg: 2264.30 | Min: 70.10 | Max: 6410.26 | Frames: 11100
  [11:59:39.653] [Renderer] [INFO] FPS: 2403.85 | Avg: 2262.50 | Min: 70.10 | Max: 6410.26 | Frames: 11160
  [11:59:39.685] [Renderer] [INFO] FPS: 2352.94 | Avg: 2259.84 | Min: 70.10 | Max: 6410.26 | Frames: 11220
  [11:59:39.717] [Renderer] [INFO] FPS: 2192.98 | Avg: 2257.58 | Min: 70.10 | Max: 6410.26 | Frames: 11280
  [11:59:39.751] [Renderer] [INFO] FPS: 2217.29 | Avg: 2254.33 | Min: 70.10 | Max: 6410.26 | Frames: 11340
  [11:59:39.783] [Renderer] [INFO] FPS: 2242.15 | Avg: 2251.88 | Min: 70.10 | Max: 6410.26 | Frames: 11400
  [11:59:39.814] [Renderer] [INFO] FPS: 2347.42 | Avg: 2249.84 | Min: 70.10 | Max: 6410.26 | Frames: 11460
  [11:59:39.847] [Renderer] [INFO] FPS: 2325.58 | Avg: 2247.00 | Min: 70.10 | Max: 6410.26 | Frames: 11520
  [11:59:39.881] [Renderer] [INFO] FPS: 2277.90 | Avg: 2243.87 | Min: 70.10 | Max: 6410.26 | Frames: 11580
